"id","respondent_type","instansi","unitkerja","target","data_populasi","data_clean","data_blast","data_blast_email","perolehan","perolehan_capi","perolehan_qrcode","persentase_capaian_target","persentase_response_rate_online","persentase_target_dari_populasi","persentase_clean_dari_populasi","jumlah_capi","jumlah_qr"
33854780,"INTERNAL","BADAN NASIONAL PENANGGULANGAN TERORISME (BNPT)","PIMPINAN TERTINGGI",13,0,0,0,0,0,0,0,0,0,Inf,NA,0,0
33854783,"INTERNAL","BADAN NASIONAL PENANGGULANGAN TERORISME (BNPT)","WAKIL PIMPINAN",12,0,0,0,0,0,0,0,0,0,Inf,NA,0,0
33864565,"INTERNAL","BADAN NASIONAL PENANGGULANGAN TERORISME (BNPT)","LAIN - LAIN",0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0
NA,"INTERNAL","BADAN NASIONAL PENCARIAN DAN PERTOLONGAN (BASARNAS)","TOTAL",448,4234,3508,3393,8,1093,0,0,243.97,32.14,10.58,82.85,0,0
33842709,"INTERNAL","BADAN NASIONAL PENCARIAN DAN PERTOLONGAN (BASARNAS)","KANTOR PENCARIAN DAN PERTOLONGAN PEKANBARU",2,0,0,0,0,0,0,0,0,0,Inf,NA,0,0
33842712,"INTERNAL","BADAN NASIONAL PENCARIAN DAN PERTOLONGAN (BASARNAS)","KANTOR PENCARIAN DAN PERTOLONGAN BALIKPAPAN",3,0,0,1,0,0,0,0,0,0,Inf,NA,0,0
33842713,"INTERNAL","BADAN NASIONAL PENCARIAN DAN PERTOLONGAN (BASARNAS)","KANTOR PENCARIAN DAN PERTOLONGAN BANDA ACEH",2,0,0,0,0,0,0,0,0,0,Inf,NA,0,0
33842714,"INTERNAL","BADAN NASIONAL PENCARIAN DAN PERTOLONGAN (BASARNAS)","KANTOR PENCARIAN DAN PERTOLONGAN BANDUNG",2,0,0,0,0,0,0,0,0,0,Inf,NA,0,0
33842715,"INTERNAL","BADAN NASIONAL PENCARIAN DAN PERTOLONGAN (BASARNAS)","KANTOR PENCARIAN DAN PERTOLONGAN JAKARTA",3,0,0,0,0,0,0,0,0,0,Inf,NA,0,0
33842717,"INTERNAL","BADAN NASIONAL PENCARIAN DAN PERTOLONGAN (BASARNAS)","KANTOR PENCARIAN DAN PERTOLONGAN JAYAPURA",3,0,0,0,0,0,0,0,0,0,Inf,NA,0,0
33842719,"INTERNAL","BADAN NASIONAL PENCARIAN DAN PERTOLONGAN (BASARNAS)","KANTOR PENCARIAN DAN PERTOLONGAN KUPANG",2,0,0,3,0,0,0,0,0,0,Inf,NA,0,0
33842721,"INTERNAL","BADAN NASIONAL PENCARIAN DAN PERTOLONGAN (BASARNAS)","KANTOR PENCARIAN DAN PERTOLONGAN MAKASSAR",2,0,0,0,0,0,0,0,0,0,Inf,NA,0,0
33842722,"INTERNAL","BADAN NASIONAL PENCARIAN DAN PERTOLONGAN (BASARNAS)","KANTOR PENCARIAN DAN PERTOLONGAN MANADO",3,0,0,0,0,0,0,0,0,0,Inf,NA,0,0
33842723,"INTERNAL","BADAN NASIONAL PENCARIAN DAN PERTOLONGAN (BASARNAS)","KANTOR PENCARIAN DAN PERTOLONGAN MATARAM",3,0,0,0,0,0,0,0,0,0,Inf,NA,0,0
33842724,"INTERNAL","BADAN NASIONAL PENCARIAN DAN PERTOLONGAN (BASARNAS)","KANTOR PENCARIAN DAN PERTOLONGAN MEDAN",3,0,0,0,0,0,0,0,0,0,Inf,NA,0,0
33842725,"INTERNAL","BADAN NASIONAL PENCARIAN DAN PERTOLONGAN (BASARNAS)","KANTOR PENCARIAN DAN PERTOLONGAN PADANG",2,0,0,0,0,0,0,0,0,0,Inf,NA,0,0
33842726,"INTERNAL","BADAN NASIONAL PENCARIAN DAN PERTOLONGAN (BASARNAS)","KANTOR PENCARIAN DAN PERTOLONGAN PALU",3,0,0,0,0,0,0,0,0,0,Inf,NA,0,0
33842727,"INTERNAL","BADAN NASIONAL PENCARIAN DAN PERTOLONGAN (BASARNAS)","KANTOR PENCARIAN DAN PERTOLONGAN SURABAYA",3,0,0,0,0,0,0,0,0,0,Inf,NA,0,0
33842728,"INTERNAL","BADAN NASIONAL PENCARIAN DAN PERTOLONGAN (BASARNAS)","KANTOR PENCARIAN DAN PERTOLONGAN TIMIKA",2,0,0,0,0,0,0,0,0,0,Inf,NA,0,0
33842730,"INTERNAL","BADAN NASIONAL PENCARIAN DAN PERTOLONGAN (BASARNAS)","KANTOR PENCARIAN DAN PERTOLONGAN CILACAP",3,0,0,0,0,0,0,0,0,0,Inf,NA,0,0
33842751,"INTERNAL","BADAN NASIONAL PENCARIAN DAN PERTOLONGAN (BASARNAS)","KANTOR PENCARIAN DAN PERTOLONGAN YOGYAKARTA",3,0,0,0,0,0,0,0,0,0,Inf,NA,0,0
33844103,"INTERNAL","BADAN NASIONAL PENCARIAN DAN PERTOLONGAN (BASARNAS)","KANTOR PENCARIAN DAN PERTOLONGAN BIAK",2,0,0,0,0,0,0,0,0,0,Inf,NA,0,0
33844240,"INTERNAL","BADAN NASIONAL PENCARIAN DAN PERTOLONGAN (BASARNAS)","KANTOR PENCARIAN DAN PERTOLONGAN AMBON",2,0,0,0,0,0,0,0,0,0,Inf,NA,0,0
33844295,"INTERNAL","BADAN NASIONAL PENCARIAN DAN PERTOLONGAN (BASARNAS)","KANTOR PENCARIAN DAN PERTOLONGAN DENPASAR",3,0,0,0,0,0,0,0,0,0,Inf,NA,0,0
33844358,"INTERNAL","BADAN NASIONAL PENCARIAN DAN PERTOLONGAN (BASARNAS)","KEDEPUTIAN BIDANG OPERASI PENCARIAN DAN PERTOLONGAN DAN KESIAPSIAGAAN",6,84,78,76,1,28,0,0,466.67,36.36,7.14,92.86,0,0
33844378,"INTERNAL","BADAN NASIONAL PENCARIAN DAN PERTOLONGAN (BASARNAS)","PUSAT DATA DAN INFORMASI",3,30,30,24,0,6,0,0,200,25,10,100,0,0
33844400,"INTERNAL","BADAN NASIONAL PENCARIAN DAN PERTOLONGAN (BASARNAS)","PUSAT PELATIHAN SUMBER DAYA MANUSIA PENCARIAN DAN PERTOLONGAN",2,16,15,0,0,0,0,0,0,0,12.5,93.75,0,0
33844855,"INTERNAL","BADAN NASIONAL PENCARIAN DAN PERTOLONGAN (BASARNAS)","KANTOR PENCARIAN DAN PERTOLONGAN BENGKULU",2,0,0,1,0,1,0,0,50,100,Inf,NA,0,0
