"id","respondent_type","instansi","unitkerja","target","data_populasi","data_clean","data_blast","data_blast_email","perolehan","perolehan_capi","perolehan_qrcode","persentase_capaian_target","persentase_response_rate_online","persentase_target_dari_populasi","persentase_clean_dari_populasi","jumlah_capi","jumlah_qr"
NA,"EKSTERNAL","PEMERINTAH KABUPATEN SIDOARJO","TOTAL",500,162258,87713,54387,2317,1975,0,0,395,3.48,0.31,54.06,0,0
NA,"EKSTERNAL","PEMERINTAH KABUPATEN SIGI","TOTAL",438,3436,2981,1625,829,178,77,45,68.49,7.25,12.75,86.76,77,45
NA,"EKSTERNAL","PEMERINTAH KABUPATEN SIJUNJUNG","TOTAL",143,3670,1639,1349,1,165,0,140,213.29,12.22,3.9,44.66,0,140
NA,"EKSTERNAL","PEMERINTAH KABUPATEN SIKKA","TOTAL",30,0,0,1,0,0,244,0,813.33,0,Inf,NA,244,0
NA,"EKSTERNAL","PEMERINTAH KABUPATEN SIMALUNGUN","TOTAL",474,8529,1636,1268,586,69,0,0,14.56,3.72,5.56,19.18,0,0
NA,"EKSTERNAL","PEMERINTAH KABUPATEN SIMEULUE","TOTAL",367,1365,1342,501,770,122,0,0,33.24,9.6,26.89,98.32,0,0
NA,"EKSTERNAL","PEMERINTAH KABUPATEN SINJAI","TOTAL",481,11660,2945,2126,54,136,0,0,28.27,6.24,4.13,25.26,0,0
NA,"EKSTERNAL","PEMERINTAH KABUPATEN SINTANG","TOTAL",453,4646,3521,2519,1,157,0,18,38.63,6.23,9.75,75.79,0,18
NA,"EKSTERNAL","PEMERINTAH KABUPATEN SITUBONDO","TOTAL",469,7144,3849,3038,150,428,0,114,115.57,13.43,6.56,53.88,0,114
NA,"EKSTERNAL","PEMERINTAH KABUPATEN SLEMAN","TOTAL",497,60175,11005,9731,94,636,0,0,127.97,6.47,0.83,18.29,0,0
NA,"EKSTERNAL","PEMERINTAH KABUPATEN SOLOK","TOTAL",463,6068,5001,3880,0,1185,0,861,441.9,30.54,7.63,82.42,0,861
NA,"EKSTERNAL","PEMERINTAH KABUPATEN SOLOK SELATAN","TOTAL",204,345,212,146,32,226,0,207,212.25,126.97,59.13,61.45,0,207
NA,"EKSTERNAL","PEMERINTAH KABUPATEN SOPPENG","TOTAL",395,1856,1602,904,3,101,0,0,25.57,11.14,21.28,86.31,0,0
NA,"EKSTERNAL","PEMERINTAH KABUPATEN SORONG","TOTAL",30,3714,795,591,1,21,28,2,170,3.55,0.81,21.41,28,2
NA,"EKSTERNAL","PEMERINTAH KABUPATEN SORONG SELATAN","TOTAL",58,66,37,28,1,15,17,0,55.17,51.72,87.88,56.06,17,0
NA,"EKSTERNAL","PEMERINTAH KABUPATEN SRAGEN","TOTAL",471,7826,6443,5387,51,939,0,567,319.75,17.27,6.02,82.33,0,567
NA,"EKSTERNAL","PEMERINTAH KABUPATEN SUBANG","TOTAL",434,3235,3032,2213,2,591,0,487,248.39,26.68,13.42,93.72,0,487
NA,"EKSTERNAL","PEMERINTAH KABUPATEN SUKABUMI","TOTAL",349,1155,846,649,25,695,0,651,385.67,103.12,30.22,73.25,0,651
NA,"EKSTERNAL","PEMERINTAH KABUPATEN SUKAMARA","TOTAL",414,2381,2013,1025,740,85,0,2,21.01,4.82,17.39,84.54,0,2
NA,"EKSTERNAL","PEMERINTAH KABUPATEN SUKOHARJO","TOTAL",475,8827,6015,5264,19,532,0,61,124.84,10.07,5.38,68.14,0,61
NA,"EKSTERNAL","PEMERINTAH KABUPATEN SUMBA BARAT","TOTAL",147,209,23,17,10,7,191,0,134.69,25.93,70.33,11,191,0
NA,"EKSTERNAL","PEMERINTAH KABUPATEN SUMBA BARAT DAYA","TOTAL",129,175,163,124,0,10,192,0,156.59,8.06,73.71,93.14,192,0
NA,"EKSTERNAL","PEMERINTAH KABUPATEN SUMBA TENGAH","TOTAL",332,986,621,339,123,39,190,0,68.98,8.44,33.67,62.98,190,0
NA,"EKSTERNAL","PEMERINTAH KABUPATEN SUMBA TIMUR","TOTAL",451,4473,2437,1652,332,205,0,0,45.45,10.33,10.08,54.48,0,0
NA,"EKSTERNAL","PEMERINTAH KABUPATEN SUMBAWA","TOTAL",430,2993,1637,890,657,89,0,0,20.7,5.75,14.37,54.69,0,0
NA,"EKSTERNAL","PEMERINTAH KABUPATEN SUMBAWA BARAT","TOTAL",411,2270,1986,1429,0,118,211,1,80.29,8.26,18.11,87.49,211,1
NA,"EKSTERNAL","PEMERINTAH KABUPATEN SUMEDANG","TOTAL",476,9505,6678,5305,11,642,0,236,184.45,12.08,5.01,70.26,0,236
NA,"EKSTERNAL","PEMERINTAH KABUPATEN SUMENEP","TOTAL",442,3775,1574,1238,0,797,0,539,302.26,64.38,11.71,41.7,0,539
NA,"EKSTERNAL","PEMERINTAH KABUPATEN SUPIORI","TOTAL",226,413,347,184,59,19,182,0,88.94,7.82,54.72,84.02,182,0
NA,"EKSTERNAL","PEMERINTAH KABUPATEN TABALONG","TOTAL",442,3743,2050,1695,92,233,0,0,52.71,13.04,11.81,54.77,0,0
NA,"EKSTERNAL","PEMERINTAH KABUPATEN TABANAN","TOTAL",337,4880,4085,3305,52,494,0,0,146.59,14.72,6.91,83.71,0,0
NA,"EKSTERNAL","PEMERINTAH KABUPATEN TAKALAR","TOTAL",411,2270,1949,1654,24,109,0,0,26.52,6.5,18.11,85.86,0,0
NA,"EKSTERNAL","PEMERINTAH KABUPATEN TAMBRAUW","TOTAL",30,104,80,63,4,2,32,0,113.33,2.99,28.85,76.92,32,0
NA,"EKSTERNAL","PEMERINTAH KABUPATEN TANA TIDUNG","TOTAL",304,773,506,427,1,72,63,26,52.96,16.82,39.33,65.46,63,26
NA,"EKSTERNAL","PEMERINTAH KABUPATEN TANA TORAJA","TOTAL",473,8417,7232,5916,0,288,209,0,105.07,4.87,5.62,85.92,209,0
NA,"EKSTERNAL","PEMERINTAH KABUPATEN TANAH BUMBU","TOTAL",457,5083,3678,2348,886,189,0,0,41.36,5.84,8.99,72.36,0,0
NA,"EKSTERNAL","PEMERINTAH KABUPATEN TANAH DATAR","TOTAL",482,12100,7147,6259,0,582,0,489,222.2,9.3,3.98,59.07,0,489
NA,"EKSTERNAL","PEMERINTAH KABUPATEN TANAH LAUT","TOTAL",486,15478,5919,4872,2,677,0,40,147.53,13.89,3.14,38.24,0,40
NA,"EKSTERNAL","PEMERINTAH KABUPATEN TANGERANG","TOTAL",486,15731,11853,9399,101,379,0,0,77.98,3.99,3.09,75.35,0,0
NA,"EKSTERNAL","PEMERINTAH KABUPATEN TANGGAMUS","TOTAL",442,3693,3404,2483,54,137,0,0,31,5.4,11.97,92.17,0,0
NA,"EKSTERNAL","PEMERINTAH KABUPATEN TANJUNG JABUNG BARAT","TOTAL",352,1179,861,587,101,232,0,175,115.62,33.72,29.86,73.03,0,175
NA,"EKSTERNAL","PEMERINTAH KABUPATEN TANJUNG JABUNG TIMUR","TOTAL",487,16418,1676,1150,11,987,0,887,384.8,85.01,2.97,10.21,0,887
NA,"EKSTERNAL","PEMERINTAH KABUPATEN TAPANULI SELATAN","TOTAL",348,1140,866,677,18,2095,0,1928,1156.03,301.44,30.53,75.96,0,1928
NA,"EKSTERNAL","PEMERINTAH KABUPATEN TAPANULI TENGAH","TOTAL",357,1236,1143,744,228,121,0,72,54.06,12.45,28.88,92.48,0,72
NA,"EKSTERNAL","PEMERINTAH KABUPATEN TAPANULI UTARA","TOTAL",361,1295,1,1,0,82,0,81,45.15,8200,27.88,0.08,0,81
NA,"EKSTERNAL","PEMERINTAH KABUPATEN TAPIN","TOTAL",406,2136,1376,1008,174,124,0,0,30.54,10.49,19.01,64.42,0,0
NA,"EKSTERNAL","PEMERINTAH KABUPATEN TASIKMALAYA","TOTAL",457,5134,4289,3199,11,209,0,0,45.73,6.51,8.9,83.54,0,0
NA,"EKSTERNAL","PEMERINTAH KABUPATEN TEBO","TOTAL",449,4261,673,434,1,262,0,170,96.21,60.23,10.54,15.79,0,170
NA,"EKSTERNAL","PEMERINTAH KABUPATEN TEGAL","TOTAL",456,5060,4244,2851,4,429,0,287,157.02,15.03,9.01,83.87,0,287
NA,"EKSTERNAL","PEMERINTAH KABUPATEN TELUK BINTUNI","TOTAL",80,148,14,13,1,7,25,0,40,50,54.05,9.46,25,0
NA,"EKSTERNAL","PEMERINTAH KABUPATEN TELUK WONDAMA","TOTAL",95,118,85,63,0,5,82,0,91.58,7.94,80.51,72.03,82,0
NA,"EKSTERNAL","PEMERINTAH KABUPATEN TEMANGGUNG","TOTAL",220,392,382,289,0,142,0,122,120,49.13,56.12,97.45,0,122
NA,"EKSTERNAL","PEMERINTAH KABUPATEN TIMOR TENGAH SELATAN","TOTAL",345,1110,982,914,0,88,0,0,25.51,9.63,31.08,88.47,0,0
NA,"EKSTERNAL","PEMERINTAH KABUPATEN TIMOR TENGAH UTARA","TOTAL",257,530,530,265,0,19,198,0,84.44,7.17,48.49,100,198,0
NA,"EKSTERNAL","PEMERINTAH KABUPATEN TOBA","TOTAL",257,530,314,245,17,102,0,67,65.76,38.93,48.49,59.25,0,67
NA,"EKSTERNAL","PEMERINTAH KABUPATEN TOJO UNA-UNA","TOTAL",301,757,356,279,5,26,190,0,71.76,9.15,39.76,47.03,190,0
