"id","respondent_type","instansi","unitkerja","target","data_populasi","data_clean","data_blast","data_blast_email","perolehan","perolehan_capi","perolehan_qrcode","persentase_capaian_target","persentase_response_rate_online","persentase_target_dari_populasi","persentase_clean_dari_populasi","jumlah_capi","jumlah_qr"
NA,"INTERNAL","PEMERINTAH KABUPATEN SIJUNJUNG","TOTAL",341,1069,829,953,1,332,0,0,97.36,34.8,31.9,77.55,0,0
NA,"INTERNAL","PEMERINTAH KABUPATEN SIKKA","TOTAL",30,1979,1310,1005,10,114,0,0,380,11.23,1.52,66.2,0,0
NA,"INTERNAL","PEMERINTAH KABUPATEN SIMALUNGUN","TOTAL",377,1516,1343,1351,0,215,0,0,57.03,15.91,24.87,88.59,0,0
NA,"INTERNAL","PEMERINTAH KABUPATEN SIMEULUE","TOTAL",388,1726,1523,1363,5,824,0,0,212.37,60.23,22.48,88.24,0,0
NA,"INTERNAL","PEMERINTAH KABUPATEN SINJAI","TOTAL",405,2096,1602,1506,8,255,0,0,62.96,16.84,19.32,76.43,0,0
NA,"INTERNAL","PEMERINTAH KABUPATEN SINTANG","TOTAL",420,2595,1687,1492,1,318,0,0,75.71,21.3,16.18,65.01,0,0
NA,"INTERNAL","PEMERINTAH KABUPATEN SITUBONDO","TOTAL",413,2347,1995,1857,8,491,0,0,118.89,26.33,17.6,85,0,0
NA,"INTERNAL","PEMERINTAH KABUPATEN SLEMAN","TOTAL",477,9627,2740,2108,16,688,0,0,144.23,32.39,4.95,28.46,0,0
NA,"INTERNAL","PEMERINTAH KABUPATEN SOLOK","TOTAL",401,2005,1843,1861,3,973,0,0,242.64,52.2,20,91.92,0,0
NA,"INTERNAL","PEMERINTAH KABUPATEN SOLOK SELATAN","TOTAL",418,2498,1003,980,1,494,0,0,118.18,50.36,16.73,40.15,0,0
NA,"INTERNAL","PEMERINTAH KABUPATEN SOPPENG","TOTAL",83,100,93,611,0,250,0,0,301.2,40.92,83,93,0,0
NA,"INTERNAL","PEMERINTAH KABUPATEN SORONG","TOTAL",30,1517,1384,871,1,107,0,0,356.67,12.27,1.98,91.23,0,0
NA,"INTERNAL","PEMERINTAH KABUPATEN SORONG SELATAN","TOTAL",354,1204,485,666,38,67,0,0,18.93,9.52,29.4,40.28,0,0
NA,"INTERNAL","PEMERINTAH KABUPATEN SRAGEN","TOTAL",404,2085,1878,1575,35,1024,0,0,253.47,63.6,19.38,90.07,0,0
NA,"INTERNAL","PEMERINTAH KABUPATEN SUBANG","TOTAL",415,2413,2027,1908,4,793,0,0,191.08,41.47,17.2,84,0,0
NA,"INTERNAL","PEMERINTAH KABUPATEN SUKABUMI","TOTAL",428,2985,2268,2171,16,495,0,0,115.65,22.63,14.34,75.98,0,0
NA,"INTERNAL","PEMERINTAH KABUPATEN SUKAMARA","TOTAL",400,1986,871,873,14,303,0,0,75.75,34.16,20.14,43.86,0,0
NA,"INTERNAL","PEMERINTAH KABUPATEN SUKOHARJO","TOTAL",360,1284,1107,1068,0,441,0,0,122.5,41.29,28.04,86.21,0,0
NA,"INTERNAL","PEMERINTAH KABUPATEN SUMBA BARAT","TOTAL",432,3102,1026,790,38,235,0,0,54.4,28.38,13.93,33.08,0,0
NA,"INTERNAL","PEMERINTAH KABUPATEN SUMBA BARAT DAYA","TOTAL",319,878,779,713,0,160,0,0,50.16,22.44,36.33,88.72,0,0
NA,"INTERNAL","PEMERINTAH KABUPATEN SUMBA TENGAH","TOTAL",289,683,593,542,9,289,0,0,100,52.45,42.31,86.82,0,0
NA,"INTERNAL","PEMERINTAH KABUPATEN SUMBA TIMUR","TOTAL",444,3865,1021,936,5,151,0,0,34.01,16.05,11.49,26.42,0,0
NA,"INTERNAL","PEMERINTAH KABUPATEN SUMBAWA","TOTAL",220,394,353,669,13,99,0,0,45,14.52,55.84,89.59,0,0
NA,"INTERNAL","PEMERINTAH KABUPATEN SUMBAWA BARAT","TOTAL",395,1873,1689,1620,2,412,0,0,104.3,25.4,21.09,90.18,0,0
NA,"INTERNAL","PEMERINTAH KABUPATEN SUMEDANG","TOTAL",406,2133,1854,1765,5,803,0,0,197.78,45.37,19.03,86.92,0,0
NA,"INTERNAL","PEMERINTAH KABUPATEN SUMENEP","TOTAL",405,2105,1539,1552,1,1054,0,0,260.25,67.87,19.24,73.11,0,0
NA,"INTERNAL","PEMERINTAH KABUPATEN SUPIORI","TOTAL",305,779,589,415,31,69,0,0,22.62,15.47,39.15,75.61,0,0
NA,"INTERNAL","PEMERINTAH KABUPATEN TABALONG","TOTAL",454,4776,1521,1224,94,373,0,0,82.16,28.3,9.51,31.85,0,0
NA,"INTERNAL","PEMERINTAH KABUPATEN TABANAN","TOTAL",465,6456,2437,2251,2,1279,0,0,275.05,56.77,7.2,37.75,0,0
NA,"INTERNAL","PEMERINTAH KABUPATEN TAKALAR","TOTAL",330,967,531,499,1,97,0,0,29.39,19.4,34.13,54.91,0,0
NA,"INTERNAL","PEMERINTAH KABUPATEN TAMBRAUW","TOTAL",264,586,468,329,1,63,0,0,23.86,19.09,45.05,79.86,0,0
NA,"INTERNAL","PEMERINTAH KABUPATEN TANA TIDUNG","TOTAL",361,1288,742,865,0,147,0,0,40.72,16.99,28.03,57.61,0,0
